segment,dir,time_period,mon,travel_time,,,
Bathurst-Spadina,EB,AM,09/01/2017 0:00,4.2,,,
Bathurst-Spadina,EB,AM,09/01/2017 1:00,5.1,,,
Bathurst-Spadina,EB,AM,09/01/2017 2:00,5,,,
Bathurst-Spadina,EB,AM,09/01/2017 3:00,3.5,,,
Bathurst-Spadina,EB,AM,09/01/2017 4:00,3.4,,,
Bathurst-Spadina,EB,AM,09/01/2017 5:00,4.5,,,
Bathurst-Spadina,EB,AM,09/01/2017 6:00,4.7,,,
Bathurst-Spadina,EB,AM,09/01/2017 7:00,5.3,,,
Bathurst-Spadina,EB,AM,09/01/2017 8:00,7.8,,,
Bathurst-Spadina,EB,AM,09/01/2017 9:00,9.5,,,
Bathurst-Spadina,EB,AM,09/01/2017 10:00,8.6,,,
Bathurst-Spadina,EB,AM,09/01/2017 11:00,7.5,,,
Bathurst-Spadina,EB,PM,09/01/2017 12:00,7.3,,,
Bathurst-Spadina,EB,PM,09/01/2017 13:00,6.8,,,
Bathurst-Spadina,EB,PM,09/01/2017 14:00,7.6,,,
Bathurst-Spadina,EB,PM,09/01/2017 15:00,7.9,,,
Bathurst-Spadina,EB,PM,09/01/2017 16:00,8.5,,,
Bathurst-Spadina,EB,PM,09/01/2017 17:00,9.3,,,
Bathurst-Spadina,EB,PM,09/01/2017 18:00,9.1,,,
Bathurst-Spadina,EB,PM,09/01/2017 19:00,8.9,,,
Bathurst-Spadina,EB,PM,09/01/2017 20:00,8.2,,,
Bathurst-Spadina,EB,PM,09/01/2017 21:00,6.5,,,
Bathurst-Spadina,EB,PM,09/01/2017 22:00,5.4,,,
Bathurst-Spadina,EB,PM,09/01/2017 23:00,5.2,,,
Bathurst-Spadina,WB,AM,09/01/2017 0:00,3.5,,,
Bathurst-Spadina,WB,AM,09/01/2017 1:00,4.8,,,
Bathurst-Spadina,WB,AM,09/01/2017 2:00,4.9,,,
Bathurst-Spadina,WB,AM,09/01/2017 3:00,3.6,,,
Bathurst-Spadina,WB,AM,09/01/2017 4:00,3.5,,,
Bathurst-Spadina,WB,AM,09/01/2017 5:00,4.7,,,
Bathurst-Spadina,WB,AM,09/01/2017 6:00,4.8,,,
Bathurst-Spadina,WB,AM,09/01/2017 7:00,5.2,,,
Bathurst-Spadina,WB,AM,09/01/2017 8:00,7.3,,,
Bathurst-Spadina,WB,AM,09/01/2017 9:00,8.9,,,
Bathurst-Spadina,WB,AM,09/01/2017 10:00,8.1,,,
Bathurst-Spadina,WB,AM,09/01/2017 11:00,7.8,,,
Bathurst-Spadina,WB,PM,09/01/2017 12:00,7.3,,,
Bathurst-Spadina,WB,PM,09/01/2017 13:00,6.9,,,
Bathurst-Spadina,WB,PM,09/01/2017 14:00,7.2,,,
Bathurst-Spadina,WB,PM,09/01/2017 15:00,7.3,,,
Bathurst-Spadina,WB,PM,09/01/2017 16:00,8.4,,,
Bathurst-Spadina,WB,PM,09/01/2017 17:00,9.6,,,
Bathurst-Spadina,WB,PM,09/01/2017 18:00,9,,,
Bathurst-Spadina,WB,PM,09/01/2017 19:00,8.9,,,
Bathurst-Spadina,WB,PM,09/01/2017 20:00,7.6,,,
Bathurst-Spadina,WB,PM,09/01/2017 21:00,5.5,,,
Bathurst-Spadina,WB,PM,09/01/2017 22:00,5,,,
Bathurst-Spadina,WB,PM,09/01/2017 23:00,4.6,,,
Bathurst-Spadina,EB,AM,09/16/2017 0:00,4.3,,,
Bathurst-Spadina,EB,AM,09/16/2017 1:00,5,,,
Bathurst-Spadina,EB,AM,09/16/2017 2:00,3.7,,,
Bathurst-Spadina,EB,AM,09/16/2017 3:00,3.5,,,
Bathurst-Spadina,EB,AM,09/16/2017 4:00,3.6,,,
Bathurst-Spadina,EB,AM,09/16/2017 5:00,4.2,,,
Bathurst-Spadina,EB,AM,09/16/2017 6:00,4.7,,,
Bathurst-Spadina,EB,AM,09/16/2017 7:00,4.8,,,
Bathurst-Spadina,EB,AM,09/16/2017 8:00,5.1,,,
Bathurst-Spadina,EB,AM,09/16/2017 9:00,5.5,,,
Bathurst-Spadina,EB,AM,09/16/2017 10:00,5.8,,,
Bathurst-Spadina,EB,AM,09/16/2017 11:00,7.8,,,
Bathurst-Spadina,EB,PM,09/16/2017 12:00,9.5,,,
Bathurst-Spadina,EB,PM,09/16/2017 13:00,9.9,,,
Bathurst-Spadina,EB,PM,09/16/2017 14:00,9.4,,,
Bathurst-Spadina,EB,PM,09/16/2017 15:00,9.6,,,
Bathurst-Spadina,EB,PM,09/16/2017 16:00,9.5,,,
Bathurst-Spadina,EB,PM,09/16/2017 17:00,8.9,,,
Bathurst-Spadina,EB,PM,09/16/2017 18:00,12,,,
Bathurst-Spadina,EB,PM,09/16/2017 19:00,12.5,,,
Bathurst-Spadina,EB,PM,09/16/2017 20:00,11.7,,,
Bathurst-Spadina,EB,PM,09/16/2017 21:00,8.5,,,
Bathurst-Spadina,EB,PM,09/16/2017 22:00,5,,,
Bathurst-Spadina,EB,PM,09/16/2017 23:00,5.2,,,
Bathurst-Spadina,WB,AM,09/16/2017 0:00,4.2,,,3.78
Bathurst-Spadina,WB,AM,09/16/2017 1:00,3.8,,,4.59
Bathurst-Spadina,WB,AM,09/16/2017 2:00,3.7,,,4.5
Bathurst-Spadina,WB,AM,09/16/2017 3:00,3.5,,,3.15
